name,height,weight
Doug Roth,6.11,255lb
Eddie Elisma,6.9,213lb
Justin Reed,6.8,240lb
Jamison Brewer,6.4,184lb
Matt Geiger,7,243lb
Derrick Byars,6.7,220lb
Donnie Boyce,6.5,196lb
Jason Lawson,6.11,240lb
Malcolm Lee,6.5,180lb
Ricky Ledo,6.7,195lb
Jason Jennings,7,250lb
Lee Nailon,6.9,238lb
Jerome Jordan,7,251lb
Sean Marks,6.1,250lb
Kyle Hill,6.2,180lb
Jared Jordan,6.2,187lb
Alexander Johnson,6.9,240lb
Tim Pickett,6.4,207lb
Toby Bailey Jr,6.6,213lb
Bobby Phills II,6.5,210lb
Bryon Russell,6.7,225lb
Sean Lampley,6.7,227lb
Richard Dumas,6.7,200lb
Robert Werdann,6.11,250lb
Richard Petruska,6.1,260lb
Andrae Patterson,6.9,238lb
Erazem Lorbek,6.1,240lb
Trent Plaisted,6.11,245lb
Gani Lawal,6.9,234lb
Stephane Lasme,6.8,215lb
Andrew Goudelock,6.2,200lb
Travis Leslie,6.4,205lb
Ousmane Cisse,6.8,250lb
Jamie Watson,6.7,190lb
Darren Morningstar,6.1,235lb
Tiny Gallon,6.9,300lb
Dominic McGuire,6.9,220lb
Jamal Sampson,6.11,235lb
Chris Whitney,6,168lb
Malik Hairston,6.6,220lb
Keith Benson,6.11,230lb
Ryan Stack,6.11,215lb
Cedric Ceballos,6.6,190lb
Isaac Austin,6.1,255lb
Pape Sow,6.1,250lb
Jamie Feick,6.9,255lb
Ryan Richardson,6.4,175lb
Ricky Minard,6.4,205lb
Haywoode Workman,6.2,180lb
Cory Carr,6.3,210lb
Amal McCaskill,6.11,235lb
Lari Ketner,6.9,277lb
Greg Sutton,6.2,170lb
Charles Claxton Jr,7,265lb
Brian Quinnett,6.8,235lb
Solomon Alabi,7.1,251lb
Alec Brown,7.1,235lb
Lavoy Allen,6.9,225lb
Kaniel Dickens,6.8,215lb
DeVon Hardin,6.11,250lb
Milos Babic,7,240lb
Ruben Boumtje-Boumtje,7,257lb
Alton Ford Jr,6.9,275lb
Robert Whaley,6.1,260lb
Magnum Rolle,6.11,225lb
Romero Osby,6.8,232lb
Derrick Dial,6.4,184lb
Joel Bolomboy,6.9,230lb
Christian Drejer,6.9,210lb
Mike Peplowski,6.1,270lb
Anthony Goldwire,6.1,182lb
Colton Iverson,6.1,261lb
Orien Greene,6.4,208lb
Jeff Nordgaard,6.7,225lb
Dan McClintock,7,270lb
Greg Buckner,6.4,210lb
Maarty Leunen,6.9,220lb
Cory Hightower,6.7,222lb
Shandon Anderson,6.6,208lb
Tamar Slay,6.8,215lb
Tremaine Fowlkes,6.8,220lb
