name,season,school,conf,class,G,GS,MP_per,FG_per,FGA_per,FG%_per,2P_per,2PA_per,2P%_per,3P_per,3PA_per,3P%_per,FT_per,FTA_per,FT%_per,ORB_per,DRB_per,TRB_per,AST_per,STL_per,BLK_per,TOV_per,PF_per,PTS_per,SOS
Ryan Kelly,2011-12,Duke,ACC,JR,31,19,25.9,3.5,7.8,0.444,2.2,4.6,0.469,1.3,3.2,0.408,3.6,4.5,0.807,1.8,3.6,5.4,1.1,0.8,1,1.4,2.3,11.8,8.4
Ryan Kelly,2012-13,Duke,ACC,SR,23,23,28.9,4.2,9.2,0.453,2.7,5.6,0.473,1.5,3.6,0.422,3,3.7,0.812,1.6,3.7,5.3,1.7,0.7,1.6,1,2.4,12.9,9.57
Ryan Kelly,Career,Duke,,,126,69,19.3,2.5,5.4,0.46,1.7,3.3,0.513,0.8,2.1,0.379,1.7,2.2,0.805,1.1,2.6,3.7,0.9,0.6,1.1,0.8,1.9,7.5,8.87
Jason Hart,1996-97,Syracuse,Big East,FR,32,32,35.7,3.5,9.3,0.379,2.8,7.1,0.395,0.7,2.2,0.329,1.8,2.6,0.69,,,3.5,5.8,2.8,0.1,3.1,2.7,9.6,6.96
Jason Hart,1997-98,Syracuse,Big East,SO,35,35,34.3,3.4,9.4,0.366,2.7,6.6,0.409,0.7,2.7,0.26,2.6,3.8,0.684,,,3.6,5,2.3,0.1,3.5,2.8,10.2,7.98
Jason Hart,1998-99,Syracuse,Big East,JR,33,32,32.4,5.1,12.3,0.41,3.5,7.9,0.435,1.6,4.4,0.366,2.2,2.9,0.74,,,3,4.3,3.1,0.2,3.1,3,13.9,7.63
Jason Hart,1999-00,Syracuse,Big East,SR,32,32,33.8,3.9,9.5,0.411,2.7,5.9,0.46,1.2,3.6,0.33,2.9,4,0.734,,,3,6.5,1.8,0.1,3.5,2.4,11.9,6.2
Jason Hart,Career,Syracuse,,,132,131,34,4,10.1,0.393,2.9,6.9,0.424,1.1,3.2,0.326,2.4,3.3,0.712,,,3.3,5.4,2.5,0.1,3.3,2.7,11.4,7.19
Richard Hendrix,2005-06,Alabama,SEC,FR,31,22,27.1,3.5,6.3,0.557,3.5,6.2,0.56,0,0,0,2.4,3.7,0.647,3,4.9,8,0.8,0.8,1.5,1.8,2.6,9.4,8.08
Richard Hendrix,2006-07,Alabama,SEC,SO,32,32,27.6,5.8,9.7,0.602,5.8,9.5,0.609,0,0.2,0.2,3,4.7,0.629,3.3,5.4,8.7,1.9,0.5,1.3,2.2,3,14.6,6.24
Richard Hendrix,2007-08,Alabama,SEC,JR,32,32,30.6,7.2,12,0.598,7.1,11.8,0.604,0.1,0.2,0.286,3.4,6.3,0.537,3.7,6.4,10.1,1.6,1.3,1.9,1.7,2.9,17.8,5.7
Richard Hendrix,Career,Alabama,,,95,86,28.4,5.5,9.3,0.59,5.5,9.2,0.596,0,0.1,0.231,2.9,4.9,0.594,3.3,5.6,8.9,1.4,0.9,1.6,1.9,2.8,14,6.67
Aaron White,2011-12,Iowa,Big Ten,FR,35,14,23.8,3.9,7.7,0.504,3.4,6,0.569,0.5,1.7,0.279,2.9,4.1,0.699,2.1,3.6,5.7,0.9,0.9,0.7,1.4,2.1,11.1,6.53
Aaron White,2012-13,Iowa,Big Ten,SO,38,38,29.2,3.7,7.9,0.468,3.3,6.1,0.536,0.4,1.7,0.227,5.1,6.8,0.748,2.3,3.8,6.2,1.3,1.1,0.7,1.6,1.4,12.8,6.93
Aaron White,2013-14,Iowa,Big Ten,JR,33,33,28.1,4.3,7.4,0.584,4.1,6.5,0.631,0.2,0.9,0.258,3.9,4.9,0.807,1.7,5,6.7,1.8,1,0.6,1.8,1.2,12.8,7.43
Aaron White,2014-15,Iowa,Big Ten,SR,34,34,31.5,5,9.6,0.521,4.4,7.9,0.558,0.6,1.7,0.356,5.7,7,0.819,2.1,5.2,7.3,1.4,1.3,0.5,1.2,1.6,16.4,8.39
