name,season,school,conf,class,G,GS,MP_per,FG_per,FGA_per,FG%_per,2P_per,2PA_per,2P%_per,3P_per,3PA_per,3P%_per,FT_per,FTA_per,FT%_per,ORB_per,DRB_per,TRB_per,AST_per,STL_per,BLK_per,TOV_per,PF_per,PTS_per,SOS
Aaron White,Career,Iowa,,,140,119,28.1,4.2,8.2,0.517,3.8,6.6,0.572,0.4,1.6,0.281,4.4,5.7,0.773,2.1,4.4,6.4,1.4,1.1,0.6,1.5,1.6,13.3,7.32
Phil Henderson,1986-87,Duke,ACC,FR,8,0,11.8,2.5,4.5,0.556,1.4,2.9,0.478,1.1,1.6,0.692,1.1,1.9,0.6,,,0.8,1.1,0.5,0.1,0.4,0.6,7.3,7.17
Phil Henderson,1987-88,Duke,ACC,SO,34,1,16.5,2.1,4.9,0.429,1.8,3.7,0.48,0.3,1.2,0.268,1.3,1.8,0.733,,,1.7,0.9,1,0.1,1.4,1.3,5.9,8.38
Phil Henderson,1988-89,Duke,ACC,JR,36,36,29.6,4.6,8.8,0.525,3.8,6.8,0.568,0.8,2.1,0.387,2.6,3.4,0.764,,,3.4,2.6,1,0.3,2.8,2.6,12.7,8.2
Phil Henderson,1989-90,Duke,ACC,SR,37,37,31.5,6.8,14.4,0.473,4.6,9.2,0.506,2.1,5.2,0.414,2.8,3.3,0.836,,,3.8,2.3,1.5,0.1,2.6,2.2,18.5,8.81
Phil Henderson,Career,Duke,,,115,74,25.1,4.4,9.2,0.484,3.3,6.4,0.521,1.1,2.8,0.4,2.2,2.8,0.778,,,2.9,1.9,1.1,0.2,2.1,2,12.1,8.14
Josh Selby,2010-11,Kansas,Big 12,FR,26,11,20.4,2.8,7.4,0.373,1.5,3.8,0.384,1.3,3.6,0.362,1.1,1.4,0.757,0.4,1.8,2.2,2.2,0.8,0,2,1.7,7.9,7.62
Josh Selby,Career,Kansas,,,26,11,20.4,2.8,7.4,0.373,1.5,3.8,0.384,1.3,3.6,0.362,1.1,1.4,0.757,0.4,1.8,2.2,2.2,0.8,0,2,1.7,7.9,7.62
Michael Gbinije,2011-12,Duke,ACC,FR,19,0,5.8,0.6,1.1,0.55,0.4,0.5,0.7,0.2,0.5,0.4,0.4,0.4,1,0.3,0.6,0.8,0.2,0.2,0.1,0.4,1,1.7,8.4
Michael Gbinije,2012-13-RS,Syracuse,Big East,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Gbinije,2013-14,Syracuse,ACC,SO,34,0,14.6,1,2.7,0.38,0.6,1.4,0.408,0.4,1.3,0.349,0.9,1.4,0.646,0.6,1.1,1.8,1.2,0.7,0.2,0.5,1.6,3.4,7.25
Michael Gbinije,2014-15,Syracuse,ACC,JR,30,24,35,4.6,10,0.46,3,5.8,0.509,1.6,4.2,0.392,1.9,3.3,0.571,1.2,3.8,5,3.6,1.9,0.3,2.1,2.8,12.7,7.68
Michael Gbinije,2015-16,Syracuse,ACC,SR,37,37,37.9,6.1,13.2,0.461,3.6,6.9,0.525,2.5,6.3,0.391,2.9,4.3,0.663,1.1,3,4.1,4.3,1.9,0.4,2.8,2.6,17.5,9.75
Michael Gbinije,Career,Overall,,,120,61,25.5,3.4,7.5,0.454,2.1,4.1,0.511,1.3,3.4,0.387,1.7,2.6,0.639,0.8,2.3,3.1,2.6,1.3,0.3,1.6,2.1,9.8,8.27
Michael Gbinije,,Duke,,,19,0,5.8,0.6,1.1,0.55,0.4,0.5,0.7,0.2,0.5,0.4,0.4,0.4,1,0.3,0.6,0.8,0.2,0.2,0.1,0.4,1,1.7,
Michael Gbinije,,Syracuse,,,101,61,29.2,3.9,8.7,0.452,2.4,4.7,0.507,1.5,4,0.387,1.9,3,0.631,1,2.6,3.6,3,1.5,0.3,1.8,2.4,11.3,
Aaron Gray,2003-04,Pitt,Big East,FR,15,0,5.9,0.7,1.3,0.55,0.7,1.3,0.55,0,0,,0.3,0.5,0.571,0.7,0.8,1.5,0.4,0,0.2,0.2,0.9,1.7,6.49
Aaron Gray,2004-05,Pitt,Big East,SO,29,0,11.6,1.7,2.9,0.576,1.7,2.9,0.576,0,0,,1,1.6,0.609,1.2,1.6,2.8,0.7,0.2,0.6,1,1.7,4.3,5.73
Aaron Gray,2005-06,Pitt,Big East,JR,33,33,27.9,5.2,9.8,0.526,5.2,9.8,0.526,0,0,,3.6,5.6,0.634,3.7,6.8,10.5,1.8,0.6,1.5,2.7,2.6,13.9,7.01
Aaron Gray,2006-07,Pitt,Big East,SR,36,35,28.2,5.7,10,0.565,5.7,10,0.565,0,0,,2.5,4.6,0.548,3.3,6.1,9.5,1.7,0.4,1.7,1.5,2.5,13.9,8.53
Aaron Gray,Career,Pitt,,,113,68,20.9,3.8,7,0.55,3.8,7,0.55,0,0,,2.1,3.6,0.595,2.5,4.5,7,1.3,0.4,1.2,1.6,2.1,9.8,6.94
Kyle O'Quinn,2008-09,Norfolk State,MEAC,FR,31,2,16.7,2,4.1,0.492,1.5,2.6,0.556,0.5,1.5,0.378,0.7,1.2,0.622,1,2.4,3.4,0.4,0.3,0.8,1.1,1.7,5.3,-9.49
Kyle O'Quinn,2009-10,Norfolk State,MEAC,SO,30,29,28.3,4.8,8.8,0.549,4.3,6.6,0.655,0.5,2.2,0.239,1.3,2.5,0.527,2.7,6,8.7,0.9,0.5,1.7,2.1,3.1,11.5,-6.42
Kyle O'Quinn,2010-11,Norfolk State,MEAC,JR,32,31,32.8,6.2,11.1,0.556,5.7,9.2,0.625,0.5,2,0.238,3.6,4.7,0.762,3.3,7.8,11.1,1,0.6,3.4,2.1,3.6,16.4,-7.45
Kyle O'Quinn,2011-12,Norfolk State,MEAC,SR,36,36,31.3,5.7,9.9,0.573,5.5,9.1,0.61,0.2,0.9,0.188,4.3,6.2,0.696,3.2,7.2,10.3,1.4,0.7,2.7,2.6,3.3,15.9,-5.39
Kyle O'Quinn,Career,Norfolk State,,,129,98,27.5,4.7,8.6,0.553,4.3,7,0.62,0.4,1.6,0.261,2.6,3.8,0.685,2.6,5.9,8.5,0.9,0.5,2.2,2,2.9,12.5,-7.19
Leon Powe Jr,2003-04,California,Pac-10,FR,27,26,29.8,5.3,10.8,0.488,5.3,10.7,0.49,0,0,0,4.6,7.6,0.61,3.4,6.1,9.5,0.7,0.7,0.6,2,2.3,15.1,6.65
Leon Powe Jr,2005-06,California,Pac-10,SO,27,27,35.3,6.6,13.3,0.496,6.5,13,0.5,0.1,0.3,0.333,7.2,10,0.719,3.3,6.8,10.1,1.4,0.9,0.6,2.4,2.5,20.5,8.84
Leon Powe Jr,Career,California,,,54,53,32.5,5.9,12,0.492,5.9,11.9,0.495,0.1,0.2,0.3,5.9,8.8,0.672,3.4,6.4,9.8,1.1,0.8,0.6,2.2,2.4,17.8,7.74
Cameron Bairstow,2010-11,New Mexico,MWC,FR,31,1,9.7,1.1,1.8,0.6,1,1.7,0.604,0,0.1,0.5,0.4,0.7,0.591,0.8,1,1.8,0.2,0.2,0.3,0.5,1.5,2.6,4.9
Cameron Bairstow,2011-12,New Mexico,MWC,SO,34,1,15.4,1.2,2.6,0.444,1.2,2.6,0.449,0,0,0,1.3,2.1,0.634,1.7,1.9,3.6,0.3,0.4,0.6,0.9,2.4,3.7,3.34
Cameron Bairstow,2012-13,New Mexico,MWC,JR,35,19,24.1,3.1,6.8,0.456,3.1,6.8,0.456,0,0,,3.5,4.8,0.738,2.2,3.8,5.9,0.9,0.7,0.6,1.2,2.4,9.7,6.59
Cameron Bairstow,2013-14,New Mexico,MWC,SR,34,34,32.9,7,12.5,0.556,6.9,12.4,0.558,0,0.1,0.333,6.4,8.8,0.735,2.2,5.1,7.4,1.6,0.6,1.5,2,2.1,20.4,4.84
Cameron Bairstow,Career,New Mexico,,,134,55,20.8,3.1,6,0.517,3.1,6,0.519,0,0,0.333,3,4.2,0.717,1.7,3,4.8,0.8,0.5,0.7,1.2,2.1,9.2,4.92
James Jones,1999-00,Miami (FL),Big East,FR,33,0,12.8,1.6,3.7,0.426,1.3,2.7,0.467,0.3,1,0.313,0.5,0.5,0.833,,,1.9,0.3,0.5,0.5,0.4,1.3,3.9,5.39
James Jones,2000-01,Miami (FL),Big East,SO,29,28,31.8,4.2,9.8,0.428,2.8,6.8,0.409,1.4,3,0.471,2.1,2.6,0.811,2.2,3.6,5.9,1.2,1.2,1.6,1.9,2.2,11.9,4.92
James Jones,2001-02,Miami (FL),Big East,JR,32,32,32.8,4.2,10.4,0.401,3.1,7.1,0.441,1,3.3,0.314,3.5,4.1,0.841,2,4.3,6.3,1.5,1.3,2.4,1.6,2.4,12.8,5.53
James Jones,2002-03,Miami (FL),Big East,SR,28,28,34.2,5.6,12.5,0.447,4.2,9,0.466,1.4,3.6,0.4,4.2,5.1,0.831,1.9,4.2,6,1.8,1.6,1.8,2.5,2.7,16.9,4.91
James Jones,Career,Miami (FL),,,122,88,27.5,3.8,8.9,0.426,2.8,6.3,0.444,1,2.7,0.383,2.5,3,0.831,,,5,1.2,1.1,1.6,1.5,2.1,11.1,5.19
Ken Johnson,1997-98,Ohio State,Big Ten,FR,30,26,27,2.6,5.4,0.488,2.6,5.4,0.488,0,0,,1.5,2.4,0.616,1.8,2.4,4.2,0.5,0.3,1.9,1.4,3.5,6.8,8.73
Ken Johnson,1998-99,Ohio State,Big Ten,SO,36,36,26.4,2.7,5.2,0.521,2.7,5.2,0.521,0,0,,1,2,0.486,2.2,3.4,5.7,0.2,0.3,2.8,1.1,2.8,6.4,9.51
Ken Johnson,1999-00,Ohio State,Big Ten,JR,30,30,29.5,3.1,5.7,0.553,3.1,5.7,0.553,0,0,,1.6,2.5,0.635,2.3,3.7,6.1,0.3,0.2,5.4,1.2,2.9,7.8,6.55
Ken Johnson,2000-01,Ohio State,Big Ten,SR,31,31,29.5,4.7,8.1,0.578,4.7,8.1,0.578,0,0,,3.1,4.4,0.711,2,5.3,7.3,0.8,0.4,4,2.4,2.6,12.5,8.16
Ken Johnson,Career,Ohio State,,,127,123,28,3.3,6.1,0.54,3.3,6.1,0.54,0,0,,1.8,2.8,0.63,2.1,3.7,5.8,0.5,0.3,3.5,1.5,3,8.3,8.24
Erik Murphy,2009-10,Florida,SEC,FR,33,0,9.1,1.5,2.4,0.6,1.5,2.4,0.6,0,0,,0.6,0.9,0.633,1,1.4,2.4,0.2,0.4,0.2,0.6,1.5,3.5,7.16
Erik Murphy,2010-11,Florida,SEC,SO,33,1,10.8,1.6,3.2,0.514,1.3,2.3,0.56,0.4,0.9,0.4,0.6,0.8,0.75,0.8,1.5,2.3,0.2,0.2,0.5,0.7,1.7,4.3,7.57
Erik Murphy,2011-12,Florida,SEC,JR,34,32,25.9,3.9,7.9,0.485,2.1,3.8,0.554,1.7,4.1,0.421,1,1.3,0.814,1.2,3.3,4.5,0.9,0.5,1.1,1.3,2.6,10.5,7.33
Erik Murphy,2012-13,Florida,SEC,SR,36,34,26.4,4.6,8.8,0.516,2.6,4.4,0.579,2,4.4,0.453,1.1,1.4,0.784,1.6,3.9,5.5,1.4,0.6,0.7,1.4,2.8,12.2,6.85
Erik Murphy,Career,Florida,,,136,67,18.3,2.9,5.7,0.514,1.9,3.3,0.572,1.1,2.4,0.435,0.8,1.1,0.757,1.2,2.6,3.7,0.7,0.4,0.6,1,2.2,7.7,7.23
Georges Niang,2012-13,Iowa State,Big 12,FR,35,23,25.1,4.5,8.7,0.515,3.4,5.9,0.572,1.1,2.8,0.392,2,2.9,0.7,1.3,3.2,4.6,1.8,0.7,0.2,1.5,3,12.1,6.13
Georges Niang,2013-14,Iowa State,Big 12,SO,34,34,30.1,6.5,13.8,0.474,5.1,9.4,0.542,1.4,4.3,0.327,2.2,3.1,0.721,1,3.5,4.5,3.6,0.6,0.6,2.4,3.2,16.7,9.88
Georges Niang,2014-15,Iowa State,Big 12,JR,34,34,30.7,5.5,11.9,0.461,4.1,8.6,0.485,1.4,3.4,0.4,3,3.7,0.808,1,4.4,5.4,3.4,0.5,0.5,2.7,2.8,15.3,9.15
Georges Niang,2015-16,Iowa State,Big 12,SR,35,35,33.2,8.1,14.8,0.546,6.5,10.7,0.605,1.6,4.1,0.392,2.7,3.4,0.807,1.3,4.9,6.2,3.3,0.9,0.6,2.6,3.2,20.5,10.16
Georges Niang,Career,Iowa State,,,138,126,29.8,6.2,12.3,0.5,4.8,8.7,0.553,1.4,3.6,0.375,2.5,3.2,0.763,1.2,4,5.2,3.1,0.7,0.5,2.3,3.1,16.1,8.83
Darius Songaila,1998-99,Wake Forest,ACC,FR,31,24,24.4,4,8,0.504,4,7.7,0.513,0.1,0.3,0.25,4,4.9,0.804,,,5.3,1.5,1.3,0.7,2.8,3.6,12.1,8.11
Darius Songaila,1999-00,Wake Forest,ACC,SO,35,33,24.1,4.6,9.1,0.511,4.6,9,0.514,0,0.1,0,4.5,5.4,0.835,,,5.5,1.2,0.9,0.7,2.3,3.4,13.7,8.95
Darius Songaila,2000-01,Wake Forest,ACC,JR,30,29,25.5,4.8,9.7,0.5,4.7,9.4,0.502,0.1,0.3,0.444,3.4,4.2,0.816,1.9,4.2,6,1.7,0.9,0.7,2.4,3.3,13.2,10.5
Darius Songaila,2001-02,Wake Forest,ACC,SR,34,34,30.5,6,11.5,0.523,5.8,11,0.529,0.2,0.5,0.375,5.7,6.6,0.854,2.2,5.9,8.1,2.6,1.3,0.8,3.5,3.1,17.9,10.28
Darius Songaila,Career,Wake Forest,,,130,120,26.2,4.9,9.6,0.511,4.8,9.3,0.516,0.1,0.3,0.343,4.4,5.3,0.831,,,6.3,1.8,1.1,0.7,2.8,3.3,14.3,9.46
Ryan Hollins,2002-03,UCLA,Pac-10,FR,24,15,16.7,1.6,2.7,0.594,1.6,2.7,0.594,0,0,,1.2,2.4,0.491,1.1,2.5,3.5,0.2,0.3,0.9,1.1,1.8,4.3,9.75
Ryan Hollins,2003-04,UCLA,Pac-10,SO,28,16,25.4,2.3,4.2,0.547,2.3,4.2,0.547,0,0,,1.9,3.3,0.581,1.6,2.7,4.3,0.5,0.4,1,1.7,3,6.5,6.82
Ryan Hollins,2004-05,UCLA,Pac-10,JR,28,6,16.4,1.4,2.7,0.526,1.4,2.7,0.52,0,0,1,1.6,2.3,0.677,1.5,1.8,3.4,0.4,0,0.8,1.5,2.2,4.5,7.08
Ryan Hollins,2005-06,UCLA,Pac-10,SR,33,24,21.5,2.5,4.1,0.619,2.5,4.1,0.619,0,0,,2,3.3,0.602,2,2.8,4.8,0.3,0.2,0.9,1.2,2.5,7,8.27
Ryan Hollins,Career,UCLA,,,113,61,20.2,2,3.5,0.575,2,3.5,0.574,0,0,1,1.7,2.9,0.591,1.6,2.5,4,0.4,0.2,0.9,1.4,2.4,5.7,7.98
Goran Suton,2005-06,Michigan State,Big Ten,FR,31,6,14.8,1.3,2.7,0.471,1.3,2.7,0.476,0,0,0,0.5,0.6,0.737,1.1,1.7,2.8,0.5,0.4,0.5,0.9,1.5,3,7.27
Goran Suton,2006-07,Michigan State,Big Ten,SO,35,21,26.9,3.9,7.7,0.509,3.9,7.5,0.519,0,0.1,0,1.5,2.3,0.646,2.3,4.5,6.7,2.4,0.7,0.7,2.6,2.7,9.3,8.45
Goran Suton,2007-08,Michigan State,Big Ten,JR,36,35,26.6,3.8,6.9,0.551,3.7,6.5,0.57,0.1,0.3,0.167,1.4,1.9,0.776,2.8,5.4,8.2,1.8,1.1,0.9,1.7,2.8,9.1,7.68
Goran Suton,2008-09,Michigan State,Big Ten,SR,32,29,26.7,3.8,7.4,0.521,3.2,5.9,0.543,0.7,1.5,0.438,2.1,2.5,0.848,2.9,5.5,8.4,1.6,1.1,0.5,1.8,2.5,10.4,9.37
Goran Suton,Career,Michigan State,,,134,91,24,3.3,6.2,0.521,3.1,5.8,0.536,0.2,0.5,0.348,1.4,1.8,0.753,2.3,4.3,6.6,1.6,0.8,0.7,1.8,2.4,8.1,8.19
Ryan Gomes,2001-02,Providence,Big East,FR,24,23,31.5,5.5,9.8,0.559,5.5,9.7,0.567,0,0.1,0,2.8,4.6,0.613,3.6,4.3,7.8,1.5,1.4,0.7,1.5,2.6,13.8,4.55
Ryan Gomes,2002-03,Providence,Big East,SO,32,32,36,6.7,12.4,0.537,6.7,12.3,0.541,0,0.1,0,5.1,6.1,0.84,3.3,6.4,9.7,2.1,1.7,0.8,2.4,2.2,18.4,7.83
Ryan Gomes,2003-04,Providence,Big East,JR,29,29,34.8,6.6,13.1,0.507,5.6,10.1,0.558,1,3,0.333,4.6,5.3,0.87,3.8,5.7,9.4,2.3,1.6,0.1,2.6,2.1,18.9,8.21
Ryan Gomes,2004-05,Providence,Big East,SR,31,31,37.5,8,16.1,0.496,6.3,11.6,0.54,1.7,4.4,0.38,4,5.2,0.77,2.8,5.5,8.2,3.2,1.5,0.2,2.5,1.6,21.6,8.87
Ryan Gomes,Career,Providence,,,116,115,35.1,6.8,13,0.519,6.1,11,0.549,0.7,2,0.352,4.2,5.3,0.789,3.3,5.5,8.9,2.3,1.6,0.4,2.3,2.1,18.4,7.37
Joey Wright,1986-87,Drake,MVC,FR,16,0,7.4,0.9,1.8,0.517,0.9,1.5,0.583,0.1,0.3,0.2,0.4,0.7,0.636,,,0.7,0.6,0.3,0,0.8,0.7,2.4,2.97
Joey Wright,1987-88,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,
Joey Wright,1988-89,Texas,SWC,SO,33,,27.8,5.2,10.5,0.501,3.8,6.9,0.541,1.5,3.5,0.422,3.8,5.6,0.674,,,3.2,2.9,1.8,0.1,3.5,3.1,15.7,3.4
Joey Wright,1989-90,Texas,SWC,JR,33,,35.1,6.3,13.8,0.459,4.3,9.1,0.475,2,4.7,0.429,4.8,6.2,0.777,,,4.5,3.8,1.7,0.1,3.2,3,19.5,5.36
Joey Wright,1990-91,Texas,SWC,SR,31,,36.8,6.7,15.5,0.43,4.7,10.6,0.447,1.9,4.9,0.395,5.9,7.7,0.762,,,4.3,3.6,1.6,0,3.4,2.4,21.2,7.78
Joey Wright,Career,Overall,,,113,0,29.5,5.3,11.6,0.461,3.8,7.8,0.485,1.6,3.8,0.412,4.2,5.7,0.739,,,3.5,3.1,1.5,0.1,3,2.5,16.4,4.88
Joey Wright,,Drake,,,16,0,7.4,0.9,1.8,0.517,0.9,1.5,0.583,0.1,0.3,0.2,0.4,0.7,0.636,,,0.7,0.6,0.3,0,0.8,0.7,2.4,
Joey Wright,,Texas,,,97,,33.2,6.1,13.2,0.46,4.3,8.9,0.482,1.8,4.4,0.415,4.8,6.5,0.741,,,4,3.5,1.7,0.1,3.3,2.8,18.8,
Kris Joseph,2008-09,Syracuse,Big East,FR,34,2,13.5,1.3,3,0.427,1.1,2.3,0.481,0.2,0.8,0.269,0.6,1.5,0.404,0.8,1.6,2.4,0.5,0.9,0.2,0.8,1,3.4,9.48
Kris Joseph,2009-10,Syracuse,Big East,SO,35,4,27.8,3.6,7.4,0.49,3.4,6.2,0.541,0.3,1.2,0.22,3.3,4.4,0.748,1.7,3.8,5.5,1.7,1.4,0.4,1.8,1.8,10.8,7.21
Kris Joseph,2010-11,Syracuse,Big East,JR,34,34,32.4,4.6,10.1,0.456,3.3,6.4,0.507,1.3,3.6,0.366,3.8,5.3,0.711,1.1,4.1,5.2,2.2,1.5,0.6,2.1,1.9,14.3,8.79
Kris Joseph,2011-12,Syracuse,Big East,SR,37,37,32.2,4.4,10.5,0.421,3.1,6.5,0.467,1.4,4,0.345,3.2,4.2,0.745,1.5,3.2,4.7,1.5,1.4,0.6,1.5,1.7,13.4,8.02
Kris Joseph,Career,Syracuse,,,140,77,26.6,3.5,7.8,0.449,2.7,5.4,0.501,0.8,2.4,0.331,2.7,3.9,0.702,1.3,3.2,4.5,1.5,1.3,0.5,1.6,1.6,10.5,8.37
Jon Diebler,2007-08,Ohio State,Big Ten,FR,37,8,21.1,1.7,5.6,0.304,0.4,1.1,0.366,1.3,4.5,0.289,1.2,1.5,0.782,0.4,2,2.3,1.2,0.7,0.2,1.2,1.2,5.9,7.97
Jon Diebler,2008-09,Ohio State,Big Ten,SO,33,33,36.7,3.5,8.4,0.421,0.6,1.4,0.447,2.9,7,0.416,1.2,1.5,0.8,0.3,3.3,3.6,2.5,1,0.3,1.6,1.3,11.2,8.23
Jon Diebler,2009-10,Ohio State,Big Ten,JR,37,37,37.2,4,9.1,0.438,0.9,1.7,0.516,3.1,7.5,0.42,1.9,2.1,0.873,0.2,2.5,2.8,1.5,1.1,0.1,1,1.8,13,7.37
Jon Diebler,2010-11,Ohio State,Big Ten,SR,37,36,35.7,3.9,7.7,0.507,0.8,1.6,0.525,3.1,6.1,0.502,1.7,2.1,0.81,0.4,2.3,2.6,2.4,1,0.1,0.9,1,12.6,8.38
Jon Diebler,Career,Ohio State,,,144,114,32.6,3.3,7.7,0.427,0.7,1.5,0.474,2.6,6.3,0.416,1.5,1.8,0.821,0.3,2.5,2.8,1.9,1,0.2,1.2,1.3,10.7,7.99
Shan Foster,2004-05,Vanderbilt,SEC,FR,34,24,22.8,3.1,6.9,0.441,1,2.4,0.432,2,4.6,0.445,1,1.3,0.814,0.9,2.2,3.1,1.1,0.6,0.2,0.9,1.4,9.2,7.34
Shan Foster,2005-06,Vanderbilt,SEC,SO,30,30,32.2,5.4,12,0.451,2.4,4.7,0.507,3,7.2,0.415,2.1,2.8,0.759,0.8,2.1,3,1.6,0.5,0.2,1.6,1.3,15.9,7.53
Shan Foster,2006-07,Vanderbilt,SEC,JR,34,34,32.4,5.6,12.5,0.449,3.4,6.2,0.555,2.2,6.3,0.346,2.2,2.6,0.843,1.4,3.3,4.6,2.3,1.2,0.4,1.9,1.7,15.6,7.79
Shan Foster,2007-08,Vanderbilt,SEC,SR,34,34,33.7,7.1,13.6,0.523,3.2,5.2,0.61,3.9,8.4,0.469,2.1,2.8,0.76,1.1,3.8,4.9,1.6,1.1,0.2,1.7,1.9,20.3,5.54
Shan Foster,Career,Vanderbilt,,,132,122,30.2,5.3,11.2,0.471,2.5,4.6,0.543,2.8,6.6,0.421,1.9,2.4,0.791,1.1,2.9,3.9,1.7,0.8,0.3,1.5,1.6,15.2,7.05
Corey Brewer,2004-05,Florida,SEC,FR,32,30,24.7,2.7,5.3,0.515,2.2,4.1,0.538,0.5,1.2,0.436,1.6,2.7,0.581,1.5,1.9,3.4,2,1.4,0.4,1.6,2.3,7.5,7.13
Corey Brewer,2005-06,Florida,SEC,SO,39,37,28.1,4.4,9.4,0.468,3.3,6.3,0.527,1.1,3.1,0.35,2.8,3.7,0.769,1.3,3.5,4.8,3.3,1.6,0.4,2.8,2.5,12.7,5.49
Corey Brewer,2006-07,Florida,SEC,JR,37,37,28.5,4.6,9.6,0.475,3.5,6.4,0.544,1.1,3.2,0.336,3,4.2,0.723,1.1,3.6,4.7,2.9,1.9,0.4,2.5,1.9,13.2,7.34
Corey Brewer,Career,Florida,,,108,104,27.2,4,8.2,0.48,3,5.7,0.536,0.9,2.6,0.356,2.5,3.6,0.708,1.3,3,4.3,2.8,1.6,0.4,2.3,2.2,11.3,6.65
JamesOn Curry,2004-05,Oklahoma State,Big 12,FR,33,15,24.7,3.4,7.1,0.474,2,3.9,0.508,1.4,3.2,0.433,1.3,1.8,0.759,0.7,1.9,2.6,2.8,0.6,0.2,2,1.9,9.4,9.67
JamesOn Curry,2005-06,Oklahoma State,Big 12,SO,33,33,34.1,4.8,12.1,0.398,2.9,7,0.413,1.9,5.2,0.376,1.9,2.7,0.7,0.4,2.4,2.8,4,1.2,0.2,3.3,2.1,13.5,6.67
JamesOn Curry,2006-07,Oklahoma State,Big 12,JR,35,35,37,5.8,12.8,0.452,3.3,6.7,0.489,2.5,6.1,0.411,3.3,4.1,0.793,0.4,2.7,3.2,3.7,1.2,0.3,3.1,2.1,17.3,6.34
JamesOn Curry,Career,Oklahoma State,,,101,83,32,4.7,10.7,0.437,2.7,5.9,0.464,2,4.8,0.404,2.2,2.9,0.758,0.5,2.4,2.9,3.5,1,0.2,2.8,2,13.5,7.56
Kyle Korver,1999-00,Creighton,MVC,FR,33,1,18.2,2.9,6.2,0.475,1,1.8,0.576,1.9,4.4,0.434,1,1.2,0.895,,,3.1,1,0.6,0.2,1.3,1.7,8.8,1.64
Kyle Korver,2000-01,Creighton,MVC,SO,32,32,29.4,4.6,9.8,0.47,1.5,2.9,0.511,3.1,6.9,0.452,2.3,2.6,0.867,1.5,4.3,5.8,2,1.8,0.4,1.8,2.6,14.6,3.01
Kyle Korver,2001-02,Creighton,MVC,JR,29,28,31.6,4.5,9.4,0.478,1.8,3.1,0.578,2.7,6.3,0.429,3.3,3.8,0.89,1.6,3.9,5.5,3.3,1.6,0.6,2.2,2.4,15.1,1.39
Kyle Korver,2002-03,Creighton,MVC,SR,34,34,31.8,5.4,11.5,0.468,1.6,3.6,0.443,3.8,7.9,0.48,3.2,3.5,0.908,1.4,5,6.4,3.1,1.5,0.7,2,2.6,17.8,1.03
Kyle Korver,Career,Creighton,,,128,95,27.7,4.4,9.3,0.472,1.5,2.9,0.515,2.9,6.4,0.453,2.4,2.7,0.891,,,5.2,2.3,1.3,0.5,1.8,2.3,14.1,1.77
Jack McClinton,2004-05,Siena,MAAC,FR,30,23,32.3,4.6,10.8,0.423,3,6.5,0.467,1.5,4.3,0.357,2.9,3.6,0.815,0.9,4.1,5,2.7,1.1,0,2.6,2.9,13.6,-2.47
Jack McClinton,2005-06-RS,Miami (FL),ACC,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,
Jack McClinton,2006-07,Miami (FL),ACC,SO,31,22,31.5,5.3,13,0.404,2.3,6.3,0.367,2.9,6.7,0.44,3.3,3.7,0.895,0.5,2,2.5,2.1,0.7,0,2.4,2.3,16.7,7.15
Jack McClinton,2007-08,Miami (FL),ACC,JR,32,30,31.5,5.6,13.1,0.428,2.7,6.2,0.429,2.9,6.9,0.427,3.6,3.9,0.919,0.3,2.1,2.4,2.6,0.8,0,2.5,1.8,17.7,7.13
Jack McClinton,2008-09,Miami (FL),ACC,SR,32,31,32.2,6.3,13.9,0.449,3.1,6.9,0.446,3.2,7,0.453,3.6,4.1,0.885,0.6,2.5,3.1,2.8,0.8,0,2.6,1.6,19.3,9.04
Jack McClinton,Career,Overall,,,125,106,31.9,5.4,12.7,0.427,2.8,6.5,0.428,2.7,6.2,0.426,3.4,3.8,0.881,0.6,2.7,3.2,2.6,0.8,0,2.5,2.1,16.9,5.21
Jack McClinton,,Siena,,,30,23,32.3,4.6,10.8,0.423,3,6.5,0.467,1.5,4.3,0.357,2.9,3.6,0.815,0.9,4.1,5,2.7,1.1,0,2.6,2.9,13.6,
Jack McClinton,,Miami (FL),,,95,83,31.7,5.7,13.3,0.428,2.7,6.5,0.416,3,6.8,0.44,3.5,3.9,0.9,0.5,2.2,2.7,2.5,0.7,0,2.5,1.9,17.9,
Ben Bentil,2014-15,Providence,Big East,FR,34,23,21.5,2.2,5.1,0.436,1.9,4.2,0.465,0.3,0.9,0.3,1.7,2.4,0.695,2.3,2.6,4.9,0.6,0.3,0.4,1.2,2.6,6.4,9.5
Ben Bentil,2015-16,Providence,Big East,SO,35,33,34.2,7,15.2,0.462,5.5,10.7,0.517,1.5,4.5,0.329,5.5,7.1,0.782,2.7,5,7.7,1.1,0.9,1,1.9,2.8,21.1,8.46
Ben Bentil,Career,Providence,,,69,56,27.9,4.7,10.2,0.455,3.8,7.5,0.503,0.9,2.7,0.324,3.6,4.8,0.761,2.5,3.8,6.3,0.9,0.6,0.7,1.6,2.7,13.8,8.98
Tyler Harvey,2012-13,Eastern Washington,Big Sky,FR,21,4,14,2.8,5.3,0.523,1.7,2.8,0.603,1.1,2.5,0.434,0.5,1.1,0.435,0.4,1.9,2.3,1.5,0.7,0.1,1,1.5,7.1,-5.58
